"15"	"Spencerport Central Sch Dist"	"Spencerport Central School District"	"1"
"4"	"Jasper City School District"	"Jasper City School District"	"1"
"1"	"Rocky Point Union Free SD"	"Rocky Point Union Free School District"	"1"
"4"	"Meeker School District I-95"	"Meeker School District I-95"	"0"
"3"	"Nordonia Hills City Sch Dist"	"Nordonia Hills City School District"	"1"
"6"	"Shelby Co Public School Dist"	"Shelby County Public School District"	"0"
"27"	"Cook County School Dist 154"	"Cook County School District 154"	"0"
"1"	"Snyder Ind School District"	"Snyder Independent School District"	"1"
"2"	"Emery Co School District"	"Emery County School District"	"0"
"8"	"Galloway Twp School District"	"Galloway Township School District"	"0"
"4"	"Seekonk School District"	"Seekonk School District"	"1"
"16"	"Lamont School District"	"Lamont School District"	"1"
"46"	"Lansingburgh Central Sch Dist"	"Lansingburgh Central School District"	"1"
"2"	"Scales Mound Cmty Unit SD 211"	"Scales Mound Community Unit School District 211"	"1"
"13"	"Raleigh Co School District"	"Raleigh County School District"	"1"
"2"	"North Lyon County Usd 251"	"North Lyon County Usd 251"	"0"
"7"	"Cement School District 160"	"Cement School District 160"	"0"
"4"	"Shrewsbury School District"	"Shrewsbury School District"	"1"
"1"	"Leeds City School District"	"Leeds City School District"	"1"
"6"	"Monte Vista School Dist C-8"	"Monte Vista School District C-8"	"1"
"38"	"Hollandale School District"	"Hollandale School District"	"1"
"3"	"Southwest Dubois Co SD"	"Southwest Dubois County School District"	"0"
"7"	"Mechanicsburg Area Sch Dist"	"Mechanicsburg Area School District"	"1"
"2"	"Vidalia City School District"	"Vidalia City School District"	"1"
"4"	"Hartselle City School District"	"Hartselle City School District"	"1"
"1"	"Delavan-darien School District"	"Delavan-darien School District"	"0"
"545"	"Grossmont Union High Sch Dist"	"Grossmont Union High School District"	"0"
"9"	"Jefferson Davis Parish SD"	"Jefferson Davis Parish School District"	"1"
"5"	"New Diana Ind School Dist"	"New Diana Independent School District"	"1"
"28"	"Hoquiam School District 28"	"Hoquiam School District 28"	"0"
"1"	"South Pekin Grade Sch Dist 137"	"South Pekin Grade School District 137"	"0"
"4"	"Windham Southeast Su 48"	"Windham Southeast Su 48"	"0"
"6"	"Blue Lake Union Elem Sch Dist"	"Blue Lake Union Elementary School District"	"0"
"178"	"Dillon School District 2"	"Dillon School District 2"	"1"
"3"	"Groton Public Schools"	"Groton Public Schools"	"0"
"8"	"Pickerington Local School Dist"	"Pickerington Local School District"	"1"
"3"	"Walters School District I-001"	"Walters School District I-001"	"0"
"259"	"Wilson Co School District"	"Wilson County School District"	"1"
"37"	"Gadsden Ind School District"	"Gadsden Independent School District"	"0"
"25"	"Accomack Co School District"	"Accomack County School District"	"0"
"3"	"St James School District R1"	"Saint James School District R1"	"0"
"2"	"Mayfield City School Dist"	"Mayfield City School District"	"1"
"17"	"Carbon Co School District"	"Carbon County School District"	"0"
"3"	"Bruceville Eddy Ind Sch Dist"	"Bruceville Eddy Independent School District"	"0"
"3"	"Cheatham Co School District"	"Cheatham County School District"	"1"
"1"	"Cumberland Regional High Sd"	"Cumberland Regional High School District"	"0"
"19"	"Dillon School District 1"	"Dillon School District 1"	"1"
"14"	"Clinton School District 99"	"Clinton School District 99"	"0"
"52"	"Vista Unified School District"	"Vista Unified School District"	"1"
"2"	"Roswell Ind School District"	"Roswell Independent School District"	"0"
"52"	"Cohoes City School District"	"Cohoes City School District"	"1"
"25"	"Laurens Co School District"	"Laurens County School District"	"1"
"69"	"Geneva City School District"	"Geneva City School District"	"1"
"9"	"Northeast Unif School Dist 246"	"Northeast Unified School District 246"	"1"
"11"	"Hawthorn Cmty Cons Sch Dist 73"	"Hawthorn Community Consolidated School District 73"	"0"
"1"	"Elder Grove School District 8"	"Elder Grove School District 8"	"0"
"11"	"Illini Central Cusd 189"	"Illini Central Cusd 189"	"0"
"44"	"Mannford School District 3"	"Mannford School District 3"	"0"
"22"	"Cleveland School District 6"	"Cleveland School District 6"	"0"
"1"	"Auburn Public School Dist 29"	"Auburn Public School District 29"	"0"
"7"	"Montello School District"	"Montello School District"	"1"
"22"	"Cuyahoga Falls City Sch Dist"	"Cuyahoga Falls City School District"	"1"
"8"	"Goodrich Ind School District"	"Goodrich Independent School District"	"1"
"1"	"South Conejos SD Re-10"	"South Conejos School District Re-10"	"0"
"55"	"Newton Co School District"	"Newton County School District"	"1"
"2"	"East Liverpool City Sch Dist"	"East Liverpool City School District"	"1"
"1"	"Islip Union Free School Dist"	"Islip Union Free School District"	"1"
"1"	"Choteau School District 1"	"Choteau School District 1"	"0"
"1"	"Aberdeen School District 58"	"Aberdeen School District 58"	"1"
